draw,posterior_draw_weight,prob_tertiary,prob_secondary,probability_sum
224,0.00021407637700661844,0.8036030909110622,0.1963969090889378,1.0
225,0.0002782381412303848,0.9576595976472903,0.04234040235270977,1.0
226,0.00020969411935662426,0.8136122664608318,0.18638773353916815,1.0
227,0.00027858250380093775,0.9626389719003233,0.03736102809967665,1.0
228,0.0002689148023417799,0.9427070473393957,0.057292952660604315,1.0
229,0.00021845584786554613,0.8288320711224005,0.1711679288775994,1.0
230,0.0002499557795704016,0.92002777977848,0.07997222022151992,1.0
231,0.0002512421904361262,0.9061472162904919,0.09385278370950811,1.0
232,0.00025672017070762755,0.9325255533476702,0.0674744466523299,1.0
233,0.00025747122118606,0.9218990522571819,0.07810094774281799,0.9999999999999999
234,0.00028787258782738914,0.9775878896013256,0.02241211039867442,1.0
235,0.00022581026944432377,0.8121990383344009,0.18780096166559912,1.0
236,0.00025771501035113086,0.9440266150325228,0.05597338496747722,1.0
237,0.00027896150896885484,0.9593251171155744,0.04067488288442558,1.0
238,0.000222602115945994,0.7840438615492391,0.21595613845076092,1.0
239,0.00027151529488973595,0.9517167707939634,0.04828322920603646,0.9999999999999999
240,0.00025169349322797684,0.9285293802744852,0.07147061972551483,1.0
241,0.00024919397032678657,0.8983170915762114,0.10168290842378847,0.9999999999999999
242,0.0002813278608488872,0.968709031723581,0.03129096827641902,1.0
243,0.0002283183392297546,0.8166262440529924,0.18337375594700767,1.0
244,0.00026884056391618264,0.9575523964944378,0.0424476035055622,1.0
245,0.0002439118637132844,0.9339558850119687,0.06604411498803127,1.0
246,0.00024454677768569037,0.8767877256028925,0.12321227439710741,1.0
247,0.0002541899073531914,0.9520644046537712,0.047935595346228814,1.0
248,0.00025991083338583454,0.9471137466041714,0.05288625339582864,1.0
249,0.00023865743761152382,0.8536625588745064,0.14633744112549357,1.0
250,0.00025369248312196433,0.9316046418698428,0.06839535813015715,1.0
251,0.00026326350391501363,0.9366427790067688,0.06335722099323109,0.9999999999999999
252,0.00024153117296459004,0.8673683901181486,0.13263160988185144,1.0
253,0.00025853515028302187,0.9264898711903562,0.07351012880964375,1.0
254,0.0002576391831290038,0.9246536011059359,0.07534639889406414,1.0
255,0.00025083424175031537,0.9122164898806011,0.08778351011939894,1.0
256,0.00023211848471190957,0.8703269463979024,0.12967305360209752,1.0
257,0.0002444205939916169,0.8944797848783043,0.10552021512169571,1.0
258,0.0002587654286429972,0.9452422062216643,0.054757793778335694,1.0
259,0.00024709036673913065,0.8877469615512311,0.11225303844876887,1.0
260,0.00023356377346735,0.8500600188767641,0.14993998112323587,1.0
261,0.0002704084817056354,0.9704609042450341,0.02953909575496597,1.0
262,0.00024104384254337594,0.866598226840513,0.13340177315948692,1.0
263,0.0002586004240796248,0.9664179258123462,0.0335820741876537,0.9999999999999999
264,0.0002643215366878623,0.9341795927059804,0.06582040729401956,1.0
265,0.00021718790438966036,0.8636744747824786,0.1363255252175214,1.0
266,0.00025727027021899213,0.9163576032669863,0.08364239673301355,0.9999999999999999
267,0.00025400659776755126,0.9064811028006967,0.09351889719930324,1.0
268,0.00023892970390697449,0.913923034154877,0.08607696584512309,1.0
269,0.00025112992936623485,0.8993268160450248,0.10067318395497506,0.9999999999999999
270,0.0002441607948627028,0.9271763293781491,0.07282367062185088,1.0
271,0.0002547342425440759,0.9207067926999003,0.07929320730009973,1.0
272,0.00027360252722409973,0.966036981618193,0.03396301838180699,1.0
273,0.0002356041662693349,0.8421787276115805,0.1578212723884196,1.0
274,0.00024391682602295314,0.8757645541576276,0.12423544584237234,0.9999999999999999
275,0.00023437028954472527,0.8387585779761932,0.16124142202380667,0.9999999999999999
276,0.0002692754810387102,0.9730472341909941,0.02695276580900588,1.0
277,0.0002709739468956425,0.9686004337709886,0.03139956622901135,0.9999999999999999
278,0.00023162003046127883,0.8231986100628044,0.17680138993719566,1.0
279,0.00024391378522829524,0.8983814937439831,0.10161850625601691,1.0
280,0.0002565558988649466,0.9165159443386699,0.08348405566133002,0.9999999999999999
281,0.0002260756228554777,0.8811332667286351,0.1188667332713648,0.9999999999999999
282,0.00022945600744896048,0.8530500195748786,0.14694998042512145,1.0
283,0.0002743864091343059,0.949632780046246,0.05036721995375406,1.0
284,0.000270189194602561,0.9472088075682717,0.05279119243172821,1.0
285,0.00025825073480280466,0.9187374768602886,0.08126252313971137,1.0
286,0.00024132433873059385,0.921214446473038,0.0787855535269621,1.0
287,0.00024538800932294197,0.9334464682666244,0.06655353173337572,1.0
288,0.00025192169899053516,0.9242411081831153,0.07575889181688471,1.0
289,0.00023000508679000723,0.8584662654098302,0.14153373459016977,1.0
290,0.0002708721643192692,0.9455477516269875,0.05445224837301244,0.9999999999999999
291,0.0002309378190317166,0.8677379099807979,0.1322620900192021,1.0
292,0.00022488473896529706,0.8151760902511946,0.18482390974880544,1.0
293,0.0002758743353256047,0.9563521095017837,0.04364789049821628,1.0
294,0.0002188301267186141,0.8595921437152367,0.1404078562847632,1.0
295,0.0002307225286765912,0.8490930165942532,0.1509069834057469,1.0
296,0.00025334715274579443,0.9754271046941075,0.024572895305892434,1.0
297,0.00022825433247530182,0.8272509949923934,0.1727490050076066,1.0
298,0.00021382097105709225,0.8550305583560353,0.1449694416439648,1.0
299,0.00025898209193361474,0.9473615828875704,0.05263841711242954,1.0
300,0.00024504493100989264,0.9195611571689496,0.0804388428310504,1.0
301,0.0002624712647699005,0.9333862454420182,0.06661375455798178,1.0
302,0.00022716820606626437,0.8834226491875008,0.1165773508124991,0.9999999999999999
303,0.00024358020189982804,0.873112699019147,0.12688730098085302,1.0
304,0.0002425709268313968,0.8692723996621228,0.13072760033787728,1.0
305,0.00024984390946800885,0.9009312117815887,0.09906878821841121,1.0
306,0.0002729850401274682,0.9515133802046799,0.048486619795320166,1.0
307,0.00023882205273672013,0.9164971830867301,0.0835028169132699,1.0
308,0.00023484338729669674,0.9105920721206459,0.08940792787935414,1.0
309,0.0002737498909133878,0.9529243083254396,0.04707569167456044,1.0
310,0.0002535585454503875,0.9140404800628387,0.08595951993716128,1.0
311,0.00024004827608625618,0.8654755323212293,0.1345244676787708,1.0
312,0.00026277200182374524,0.9450377068757346,0.0549622931242653,0.9999999999999999
313,0.0002439403525658448,0.8869643117871145,0.11303568821288548,1.0
314,0.00024105066546568321,0.8654138191830794,0.1345861808169206,1.0
315,0.0002738542623763998,0.9605261898699425,0.039473810130057504,1.0
316,0.00022671025698398864,0.8291846289011905,0.17081537109880954,1.0
317,0.00024875715122247855,0.9060022999072881,0.093997700092712,1.0
318,0.00025902613834222546,0.9383013734365624,0.061698626563437685,1.0
319,0.00025414658178606915,0.9169178800943713,0.08308211990562882,1.0
320,0.00023616071849830373,0.8544447206383197,0.1455552793616803,1.0
321,0.0002532014706964212,0.9288253834536755,0.07117461654632458,1.0
322,0.0002581942465705544,0.9259719200889907,0.07402807991100932,1.0
323,0.00026348607901580454,0.9610330627560846,0.03896693724391544,1.0
324,0.00024126151003327017,0.8642090846685244,0.13579091533147566,1.0
325,0.000229315376638243,0.9159843143547954,0.0840156856452045,0.9999999999999999
326,0.0002519639172375772,0.8992005177746569,0.100799482225343,0.9999999999999999
327,0.00025122018387768177,0.9252133051583112,0.07478669484168883,1.0
328,0.00025741362050984084,0.9278520313109797,0.07214796868902022,0.9999999999999999
329,0.0002455257469623415,0.8796977022576007,0.12030229774239926,1.0
330,0.00026080453257482425,0.971066890841645,0.028933109158354987,1.0
331,0.0002331806950859038,0.8340092448441193,0.1659907551558807,1.0
332,0.0002575718988389727,0.9639373423838379,0.036062657616162105,1.0
333,0.00024508150919851,0.8792567738118566,0.1207432261881433,0.9999999999999999
334,0.00018441779563345556,0.6783753023901633,0.32162469760983664,1.0
335,0.00023299170872532356,0.8331343707978097,0.16686562920219034,1.0
336,0.00023862265031736188,0.8545894756035618,0.14541052439643823,1.0
337,0.0002548641644995604,0.929596661630974,0.07040333836902596,1.0
338,0.00024025340892772868,0.8663180462512886,0.13368195374871142,1.0
339,0.0002485833602313114,0.9029964704235258,0.0970035295764742,1.0
340,0.0002534482591062698,0.9170309672866426,0.08296903271335741,1.0
341,0.000244323417644566,0.8919312947211552,0.10806870527884485,1.0
342,0.0002638676434726936,0.936305492239648,0.06369450776035203,1.0
343,0.000247815624380926,0.8858199445119125,0.1141800554880876,1.0
344,0.00023615652542374133,0.8502849723942845,0.14971502760571545,0.9999999999999999
345,0.00026125383700222363,0.9651023240654806,0.03489767593451936,0.9999999999999999
346,0.00023698830913642914,0.860161622920021,0.13983837707997904,1.0
347,0.00026878381052931763,0.9439737357642957,0.0560262642357044,1.0
348,0.0002470901435807966,0.8834403169209194,0.11655968307908068,1.0
349,0.00023582971840470162,0.9134736971723333,0.08652630282766662,0.9999999999999999
350,0.000251770972651287,0.9170735559322373,0.08292644406776274,1.0
351,0.00026176063757698555,0.9283099964590075,0.07169000354099256,1.0
352,0.00022560145672680278,0.8943367235109835,0.10566327648901651,1.0
353,0.00026573720604283345,0.9342847447481112,0.06571525525188879,1.0
354,0.00024955489389493076,0.9306159368284604,0.06938406317153956,1.0
355,0.0002371222503659431,0.864682340139358,0.13531765986064206,1.0
356,0.0002582564644788532,0.9312731477239072,0.0687268522760928,1.0
357,0.00023103009268743514,0.8347234937634492,0.16527650623655077,1.0
358,0.00023191200646111628,0.8436638510081715,0.15633614899182854,1.0
359,0.00026279714709069097,0.9334255248900688,0.0665744751099313,1.0
360,0.00024736635654372635,0.8869832078761128,0.11301679212388711,1.0
361,0.0002470338677272188,0.8843249551213235,0.11567504487867658,1.0
362,0.0002496757764990775,0.9475409335433341,0.052459066456665836,1.0
363,0.000260730461288351,0.9283294987346026,0.07167050126539741,1.0
364,0.00027085708831494287,0.9456136143678412,0.05438638563215888,1.0
365,0.00023186912079067463,0.8266353683256704,0.17336463167432953,1.0
366,0.00025071910151207614,0.9600617112029584,0.039938288797041616,1.0
367,0.00024521326459752476,0.8828051537434014,0.1171948462565987,1.0
368,0.00023899725712671674,0.9095092616692819,0.09049073833071812,1.0
369,0.00025578247421538693,0.9103965111697918,0.08960348883020824,1.0
370,0.00024240719421537668,0.935924298205779,0.06407570179422097,1.0
371,0.00025383278699003066,0.916032895853904,0.08396710414609594,1.0
372,0.0002469361801293661,0.895968403911921,0.10403159608807903,1.0
373,0.0002518038418745987,0.9210925119293791,0.07890748807062094,1.0
374,0.0002509296941064774,0.9058608322116698,0.09413916778833015,1.0
375,0.00025857081361554626,0.9290530155907147,0.07094698440928535,1.0
376,0.00028727127724804876,0.9700908103928187,0.029909189607181263,1.0
377,0.00022997711273805115,0.8465044869322733,0.1534955130677268,1.0
378,0.0002721492691702632,0.9482017941579527,0.05179820584204725,1.0
379,0.00022079090583105402,0.8643621231584743,0.13563787684152565,0.9999999999999999
380,0.0002494059658097439,0.8922389394925321,0.10776106050746785,0.9999999999999999
381,0.00021947574073813,0.8040492579664581,0.19595074203354185,1.0
382,0.00028138653890628484,0.9647680251241905,0.03523197487580954,1.0
383,0.00024342145736916686,0.8715054889798688,0.12849451102013118,1.0
384,0.0002194189205869922,0.8007511828083362,0.19924881719166376,1.0
385,0.00029476807698440664,0.9763023087173209,0.023697691282678963,0.9999999999999999
386,0.0002981883396479156,0.9798689228904646,0.020131077109535492,1.0
387,0.0002987929354297293,0.9804882792294672,0.019511720770532818,1.0
388,0.00024290749561320024,0.8808368506142008,0.11916314938579917,1.0
389,0.00024715323857796615,0.9146579290995629,0.08534207090043716,1.0
390,0.00026863400960022894,0.9434629620036751,0.056537037996325014,1.0
391,0.00023084914784162808,0.8471892616060088,0.15281073839399115,1.0
392,0.00026122959835708933,0.9278194272233621,0.07218057277663782,0.9999999999999999
393,0.00023626451127107967,0.9097409857261186,0.09025901427388143,1.0
394,0.00025954651586243733,0.9284774878246108,0.07152251217538919,1.0
395,0.0002464465162185521,0.8908314389958246,0.1091685610041754,1.0
396,0.00026140444852186073,0.9401745851606371,0.05982541483936289,1.0
397,0.00025013587718141823,0.9057026697199044,0.09429733028009553,1.0
398,0.00023345190881828015,0.8736260361729602,0.1263739638270398,1.0
399,0.0002686574859219062,0.9444934952486409,0.055506504751359036,0.9999999999999999
400,0.00022579691738726357,0.8349635907730458,0.16503640922695417,1.0
401,0.0002350741956247102,0.8699104414679631,0.1300895585320369,1.0
402,0.0002582325677101216,0.9184344564818809,0.08156554351811898,0.9999999999999999
403,0.0002264289016881429,0.8689646836686452,0.13103531633135487,1.0
404,0.00026974324849195197,0.9487219354837214,0.05127806451627851,0.9999999999999999
405,0.00024502191242808735,0.8797469625929228,0.12025303740707713,1.0
406,0.0002306092255580688,0.8437336478490084,0.15626635215099147,0.9999999999999999
407,0.0002372079799572475,0.8869891362781926,0.11301086372180746,1.0
408,0.00025697514545349,0.9174594531218438,0.08254054687815619,1.0
409,0.00023339792652831052,0.8336838327098088,0.16631616729019122,1.0
410,0.0002799145293823354,0.9687498665655412,0.0312501334344589,1.0
411,0.00025485473592676706,0.9221127871513626,0.0778872128486375,1.0
