scenario,scenario_label,hypothesis,hypothesis_label,exposure_date,probability_mean,probability_lower,probability_median,probability_upper,conditional_probability_mean,conditional_probability_lower,conditional_probability_median,conditional_probability_upper
baseline,Baseline,secondary,Generation-2 infection from case 1,2026-04-11,2.974783088912779e-9,0.0,7.31904844879145e-16,3.4202860119849384e-9,1.1346379706549924e-8,0.0,3.12888610691117e-15,1.3285381738768743e-8
baseline,Baseline,tertiary,Generation-3 infection from generation-2 Hondius cases,2026-04-17,1.2021220141063882e-8,3.5144696266327514e-22,2.635652370459349e-13,3.646232075839252e-8,1.6053129368420388e-8,4.458583368250134e-22,3.6746517575719635e-13,4.5810157146831704e-8
baseline,Baseline,tertiary,Generation-3 infection from generation-2 Hondius cases,2026-04-18,1.1438944417532457e-6,3.4315104154138704e-14,7.731420934389955e-9,9.307843388172494e-6,1.5485086872447588e-6,5.268052708436618e-14,1.0700916101727035e-8,1.296012968043838e-5
baseline,Baseline,tertiary,Generation-3 infection from generation-2 Hondius cases,2026-04-19,8.342701383147325e-5,2.9587335736859335e-8,1.6385899375705542e-5,0.0005954025336947189,0.00011390953873273037,3.984924894103852e-8,2.2376502450589673e-5,0.0008044207682210206
baseline,Baseline,tertiary,Generation-3 infection from generation-2 Hondius cases,2026-04-20,0.0033892141855277917,0.00019849332045089368,0.0025898637785145245,0.011232757794809645,0.0046465997698079105,0.00026567517990079575,0.003522681056420845,0.014959569629681436
baseline,Baseline,tertiary,Generation-3 infection from generation-2 Hondius cases,2026-04-21,0.03694180100601278,0.018058106976522572,0.03607348655829411,0.06092138570403395,0.05070745793154407,0.024816518910295786,0.04968579432783855,0.08197943905833623
baseline,Baseline,tertiary,Generation-3 infection from generation-2 Hondius cases,2026-04-22,0.06125425459906376,0.04228203865934194,0.05992498690796012,0.08818002044229892,0.08404077211125052,0.05914049209207355,0.08265278153631793,0.11819037127028313
baseline,Baseline,tertiary,Generation-3 infection from generation-2 Hondius cases,2026-04-23,0.05323937709190237,0.0335096743953885,0.05239260935854955,0.07718444913225928,0.07271210302498053,0.04870524439307077,0.07236322972317825,0.0987924931558925
baseline,Baseline,tertiary,Generation-3 infection from generation-2 Hondius cases,2026-04-24,0.06353364550630214,0.0392276895083056,0.06232371186792943,0.09552793372928932,0.08673323934563872,0.05734150764026707,0.0858818166316415,0.12132051377996735
baseline,Baseline,tertiary,Generation-3 infection from generation-2 Hondius cases,2026-04-25,0.016559292992092602,0.0047020724037401375,0.015393603756041,0.034623754002993605,0.022531178998508747,0.006601730993480721,0.021215873533662284,0.044878445615063704
baseline,Baseline,tertiary,Generation-3 infection from generation-2 Hondius cases,2026-04-26,0.052947318206170116,0.0233009626607469,0.05094092495550882,0.09364769594251048,0.07174262831985255,0.033995758494014275,0.07031209321069148,0.11571184421651719
baseline,Baseline,tertiary,Generation-3 infection from generation-2 Hondius cases,2026-04-27,0.14466351309859368,0.09473732091216987,0.14419756384213608,0.19919902155285257,0.19618937794875585,0.1573417978877425,0.19693498618188365,0.23120582269503448
baseline,Baseline,tertiary,Generation-3 infection from generation-2 Hondius cases,2026-04-28,0.12690218805501294,0.07767834136787181,0.12565879112487433,0.1846425671470545,0.1722904115612599,0.12115241774603049,0.17231225946722895,0.22338087641214188
baseline,Baseline,tertiary,Generation-3 infection from generation-2 Hondius cases,2026-04-29,0.05693120095596331,0.032760508929148086,0.05634433775772401,0.08479735991382906,0.07719251110415049,0.05112676593404203,0.07692366433179493,0.10296055768167302
baseline,Baseline,tertiary,Generation-3 infection from generation-2 Hondius cases,2026-04-30,0.07228795926656074,0.04213996601517724,0.0718555290534955,0.10612022236771387,0.09818733109231086,0.06542482277726734,0.09846689656344376,0.12912190973216534
baseline,Baseline,tertiary,Generation-3 infection from generation-2 Hondius cases,2026-05-01,0.04049088707077784,0.01815257139166029,0.0390523883619101,0.07002214711460071,0.05517999273170996,0.025937868815611238,0.05399944656111943,0.09049293351414216
baseline,Baseline,tertiary,Generation-3 infection from generation-2 Hondius cases,2026-05-02,0.0049812718877492316,0.0007659807484279895,0.004170037451096823,0.01369136692387993,0.006815820654139639,0.0010071051054153415,0.005747944445198559,0.01868298054233396
baseline,Baseline,tertiary,Generation-3 infection from generation-2 Hondius cases,2026-05-03,0.00012422351425140965,5.173745573084582e-7,4.414666046563337e-5,0.0007140228576074374,0.0001709513427843893,7.199840914721849e-7,5.967987796761532e-5,0.0010309665771244924
baseline,Baseline,tertiary,Generation-3 infection from generation-2 Hondius cases,2026-05-04,1.2241090383958202e-6,3.258415392745503e-12,3.508166379821741e-8,1.0642551434712289e-5,1.693189937047313e-6,4.5489851491106835e-12,4.8047578741234064e-8,1.4504497779649753e-5
baseline,Baseline,tertiary,Generation-3 infection from generation-2 Hondius cases,2026-05-05,1.2419220025675166e-8,8.084850731047164e-21,3.3729340211049444e-12,6.094372501274276e-8,1.6851207566725727e-8,1.0725769738004356e-20,4.6773934794037364e-12,8.430489034398992e-8
baseline,Baseline,tertiary,Generation-3 infection from generation-2 Hondius cases,2026-05-06,2.2852558684822154e-7,5.592743500456085e-15,1.296732669527238e-9,1.9326901720052153e-6,3.135623525778356e-7,8.228880630825817e-15,1.7857034568347167e-9,2.6360194348849646e-6
baseline,Baseline,tertiary,Generation-3 infection from generation-2 Hondius cases,2026-05-07,7.4226625318753906e-6,8.61925046968519e-10,8.020368149259384e-7,6.540403004962881e-5,1.046348110515175e-5,1.1169532196866994e-9,1.0828529085832297e-6,9.042879042097269e-5
baseline,Baseline,tertiary,Generation-3 infection from generation-2 Hondius cases,2026-05-08,0.00010551680626531471,3.8828542153900365e-7,2.8354799350276468e-5,0.0007053455076389972,0.00015149322288122476,4.814211248727145e-7,3.872657615530054e-5,0.001029545804601771
baseline,Baseline,tertiary,Generation-3 infection from generation-2 Hondius cases,2026-05-09,0.0003034073605233964,4.714043341424504e-7,6.39480659921435e-5,0.0021787579942554778,0.00044420236907501614,5.865573441961366e-7,8.727561035751784e-5,0.0032630081946708567
baseline,Baseline,tertiary,Generation-3 infection from generation-2 Hondius cases,2026-05-10,9.110750540785688e-5,1.3480714752650208e-8,8.026049461974956e-6,0.0007671802072107351,0.00013596728619812425,1.6449015188286635e-8,1.0916125156711407e-5,0.0011356933777754703
