μ_inc,σ_inc,μ_δ,σ_δ,k,mean_gi_si,sd_gi_si,p_pre_0,p_pre_1,p_pre_2,log_R_1,log_R_2,log_R_3,log_R_4,log_R_5,log_R_6,log_R_7,log_R_8,log_R_9,log_R_10,log_R_11,log_R_12,log_R_13
3.045002199417852,0.36608578633562816,0.4553895058274847,0.5100526586490172,0.31037457918773725,22.921581493826448,8.523240683503108,0.1859745340116006,0.00216263688981737,7.397230273359522e-7,0.675059836203724,0.5357272187666824,0.5860282134435071,0.6760023533562549,0.7059618527696878,0.4826452635767683,0.3893013371201042,0.23024111519978213,0.21862528318158742,0.1269890462237363,0.08161473391503993,-0.04463666567431335,-0.2121354009519646
3.0585690540085526,0.23812021133822828,0.3106735237425434,0.5123895497445081,1.6316578058030118,22.22015903752121,5.316674409032951,0.2721501735657871,0.005264364293501202,3.2474505607292696e-6,-0.660954856162382,-0.8828262411170669,-0.3028796400038626,1.270957698252019,0.8948216233052358,0.36579798013294484,-0.6735850496569292,-1.8250587700581775,-2.626142556047614,-3.5644783348578994,-4.005826952397943,-3.131010410339452,-2.695405387687058
3.086962893472078,0.391998207723459,0.11581254215458456,0.6075789734209782,0.20358270254226876,23.77600968640151,9.66184663375731,0.4244143433407781,0.033142630138808304,0.00024850166705080797,2.2998348160469195,2.720721576059827,1.728301507002017,0.23331257492928348,0.2193509537623104,0.8033921876426051,0.8424336094795517,0.7294959137553434,0.8946897478961384,1.1682058964775204,1.5045734336409087,-0.2878925373390895,-0.8604565696314452
3.084471818146007,0.2732052317370721,0.22048950043704554,0.6039588973686915,0.6040665309211921,22.907496176213396,6.344500123312274,0.35752820166696014,0.021649433905159523,0.00011820138107899699,-0.10322593143289471,-0.1815950092060582,0.019935775147790852,0.06080415690956828,-0.024010759740324003,-0.3041809064333574,-0.5531939437436466,-0.7277891600901606,-0.8413271118969455,-0.9803266541322212,-1.2458838049789513,-0.9989408078181032,-0.689094919124887
3.039741845482148,0.3768591953843028,0.028052552723604116,0.5996636632117561,0.28386989862740963,22.46599246231938,8.785742561959472,0.48134409420159097,0.043229301812644595,0.0003598224699784648,0.4567586759620011,0.8021289423854501,1.9916270092153348,1.5244978299263308,0.6007464915875058,0.9859672567846687,-0.6501425498072138,-0.44404763839098055,-1.7525438129196307,-1.2148306081193805,-0.8413920335767497,-1.3529644725387244,-1.997905510038717
3.041088800545369,0.29159885002521824,0.3463105730461948,0.6453702582397794,0.4592516838542721,22.183266165568025,6.5373531967485965,0.2957693532562909,0.01848452483987742,0.00013866513908797543,0.7029574790797891,0.650951576987849,-0.01971348199937073,0.7252147565230587,1.4015900289540653,-0.14138602497513686,-0.4505953635397232,-1.9618263811108423,-1.8504410672331968,-3.128087177182135,-3.948977622816743,-3.9561756210797623,-4.111605282832547
3.073972859868773,0.32935065066714486,0.09923329610194712,0.5009705791167887,0.33528544526189163,22.93227730590349,7.74491076529576,0.4214904211813513,0.014110255414261901,1.3927299120785464e-5,0.19959061418745866,0.11895302899744759,0.09506654922067044,-0.24655305555105977,-0.5633153880744801,-0.3913149606954895,-0.5696197074589848,-0.41355408022019274,-0.6393242475804131,-0.4059212008230714,-0.29616279741960666,-0.37410634160019846,-0.4002644726834608
3.027417246575669,0.329724281109164,0.20835605812613456,0.4312567860380647,0.2608218704328027,22.005442193627015,7.399443990021854,0.31449927463726696,0.0025398083455693402,1.521654206420074e-7,0.8184222002480884,0.8172566691136559,0.7517526411548879,0.38742124074375434,0.09154894120339374,-0.32877878116459336,-0.6672655266214128,-0.5980458775018623,-0.7777470652286943,-0.31247224017370046,-0.1445912740488462,-0.35858869271879124,-0.43454779424997414
3.0425676169003593,0.2865521176482974,0.18023330418479977,0.5737668701838344,0.4187886253269506,22.017624106138353,6.413945548517187,0.3767138547040848,0.019843544448117017,7.238916926684943e-5,0.23642049617942404,0.2947305107954965,0.554030444500034,0.8119611476602815,1.0520962121830855,0.47871793843011945,0.37832512838639354,-0.14043021581380946,-0.3695127729090186,-1.228266191329601,-1.3363094722689122,-1.0326478013933633,-0.9182700779801691
3.1051348231964453,0.33919830217381713,0.24872510508160295,0.6433670069793942,0.3500759619523788,23.882162955296675,8.277669139347063,0.3495265126213288,0.026133876405813456,0.00023681368024496677,0.7345428619362742,0.6999580926131906,0.2802516895016195,-0.10168634503898466,-0.35437528625867465,-0.22161035475365032,-0.9696852243806133,-0.7638836094973063,-0.9773345582566895,-0.2152120364437805,-0.4966018229624589,-1.2315660818802643,-1.6603392510060626
3.089419749054381,0.32128884311541644,0.119843135974986,0.5759301950379241,0.454155287202922,23.24758883797189,7.648351098413464,0.417580824134057,0.025923149881944264,0.00011628391036771461,0.3952566580031257,0.25477526979136633,0.27143116920016785,0.033291196648966015,-0.23679203989031516,-0.47102661148243186,-0.3974212335476722,-0.6438711689429114,-0.5894003919279583,-0.8116547136039226,-0.6249260029219409,-0.5203712492821373,-0.3024553864024391
3.0115170760050147,0.36081159893728637,-0.03756646387210233,0.5975942523345732,0.22234857744106798,21.647190745320962,8.107853737759747,0.525062131833423,0.053642913989240745,0.0005119251480250057,0.5810765052195648,0.4935484851311361,0.452667380863892,0.3223448199982444,0.4442866713417314,0.17868203063604504,-0.21471682308491058,-0.05793128479338616,-0.09191957458107447,0.10019902393104962,-0.16789354876520313,-0.05949839217359898,-0.016857718870270988
